,0,1,2,3,4,5
0,0.6534,0.6534,0.6534,0.6534,0.6534,0.6534
1,0.7277,0.7277,0.7277,0.7277,0.7277,0.7277
2,0.8323,0.8323,0.8323,0.8323,0.8323,0.8323
3,0.8436,0.8436,0.8436,0.8436,0.8436,0.8436
4,0.8387,0.8387,0.8387,0.8387,0.8387,0.8387
5,0.9252,0.9251,0.9252,0.9251,0.9251,0.9251
6,0.9207,0.9207,0.9207,0.9207,0.9207,0.9207
7,0.939,0.939,0.939,0.939,0.939,0.939
8,0.9472,0.9472,0.9472,0.9472,0.9472,0.9472
9,0.9413,0.9413,0.9413,0.9413,0.9413,0.9413
10,0.9392,0.9392,0.9392,0.9392,0.9392,0.9392
11,0.9443,0.9443,0.9443,0.9443,0.9443,0.9443
