,0,1,2,3,4,5
0,0.7986,0.7986,0.7986,0.7986,0.7986,0.7986
1,0.8321,0.8321,0.8321,0.8321,0.8321,0.8321
2,0.9145,0.9145,0.9145,0.9145,0.9145,0.9145
3,0.9331,0.9331,0.9331,0.9331,0.9331,0.9331
4,0.9287,0.9287,0.9287,0.9287,0.9287,0.9287
5,0.9351,0.9351,0.9351,0.9351,0.9351,0.9351
6,0.923,0.923,0.923,0.923,0.923,0.923
7,0.9399,0.9399,0.9399,0.9399,0.9399,0.9399
8,0.9345,0.9345,0.9345,0.9345,0.9345,0.9345
9,0.9424,0.9424,0.9424,0.9424,0.9424,0.9424
10,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
11,0.9294,0.9294,0.9294,0.9294,0.9294,0.9294
